ID,question,result,expected,groups,corrupt
1,"Info-seeking wh-question
speech+gesture",1,0,1,FALSE
1,"Info-seeking wh-question
gesture+speech",3,0,1,FALSE
1,"Info-seeking wh-question
right alignment",10,10,1,FALSE
1,"Info-seeking wh-question
misalignment (aldo)",2,0,1,FALSE
1,"Yes/no question
speech+gesture",0,0,2,FALSE
1,"Yes/no question
gesture+speech",0,0,2,FALSE
1,"Yes/no question
right alignment",0,0,2,FALSE
1,"Yes/no question
misalignment (festa)",1,0,2,FALSE
1,"Counter-expectational question
speech+gesture",1,0,3,FALSE
1,"Counter-expectational question
gesture+speech",1,0,3,FALSE
1,"Counter-expectational question
right alignment",7,10,3,FALSE
1,"Counter-expectational question
misalignment (a sta schola)",1,0,3,FALSE
1,"Rhetorical question
speech+gesture",0,0,4,FALSE
1,"Rhetorical question
gesture+speech",0,0,4,FALSE
1,"Rhetorical question
right alignment",7,10,4,FALSE
1,"Rhetorical question
misalignment (Giuseppe)",0,0,4,FALSE
1,"Info-seeking non wh-question
speech+gesture",0,0,5,FALSE
1,"Info-seeking non wh-question
gesture+speech",1,0,5,FALSE
1,"Info-seeking non wh-question
misalignment (Posillipo)",0,0,5,FALSE
1,"Info-seeking non wh-question
right alignment",1,0,5,FALSE
1,"Disapproval echo-question (wh-to-HLP)
speech+gesture",0,0,6,FALSE
1,"Disapproval echo-question (wh-to-HLP)
gesture+speech",1,0,6,FALSE
1,"Disapproval echo-question (wh-to-HLP)
misalignment (buone)",0,0,6,FALSE
1,"Disapproval echo-question (wh-to-HLP)
right alignment",9,10,6,FALSE
1,"Object wh-question
speech+gesture",0,0,7,FALSE
1,"Object wh-question
gesture+speech",0,0,7,FALSE
1,"Object wh-question
misalignment (bive)",2,0,7,FALSE
1,"Object wh-question
right alignment",10,10,7,FALSE
1,"Topicalization (aldo)
gesture+speech",0,0,8,FALSE
1,"Topicalization (aldo)
misalignment (whole sentence)",2,0,8,FALSE
1,"Topicalization (aldo)
right alignment on aldo",10,10,8,FALSE
1,"Topicalization (aldo)
speech+gesture",0,0,8,FALSE
1,"Disapproval echo question (wh-to-LLP/tutto)
speech+gesture",0,0,9,FALSE
1,"Disapproval echo question (wh-to-LLP/tutto)
gesture+speech",1,0,9,FALSE
1,"Disapproval echo question (wh-to-LLP/tutto)
alignment on LLP che",0,0,9,FALSE
1,"Disapproval echo question (wh-to-LLP/tutto)
misalignment (tutto che)",0,0,9,FALSE
1,"Disapproval echo question (wh-to-LLP/tutto)
right alignment--whole sentence",10,10,9,FALSE
1,"Unheard echo question
speech+gesture",0,0,10,TRUE
1,"Unheard echo question
gesture+speech",0,0,10,FALSE
1,"Unheard echo question
misalignment (buone che)",0,0,10,FALSE
1,"Unheard echo question
che LLP",0,0,10,FALSE
1,"Unheard echo question
right alignment--whole question",10,10,10,FALSE
1,"Surprise-disapproval question
speech+gesture",0,0,11,FALSE
1,"Surprise-disapproval question
gesture+speech",0,0,11,FALSE
1,"Surprise-disapproval question
right alignment",9,10,11,FALSE
1,"Surprise-disapproval question
misalignment (dicenne)",0,0,11,FALSE
1,"Disapproval echo question
speech+gesture",0,0,12,FALSE
1,"Disapproval echo question
gesture+speech",2,0,12,FALSE
1,"Disapproval echo question
alignment on che LLP",0,0,12,FALSE
1,"Disapproval echo question
misalignment (buone che)",1,0,12,FALSE
1,"Disapproval echo question
right alignment--whole sentence",8,10,12,FALSE
1,"Declarative biased question
speech+gesture",0,0,13,FALSE
1,"Declarative biased question
gesture+speech",1,0,13,FALSE
1,"Declarative biased question
right alignment",8,10,13,FALSE
1,"Declarative biased question
misalignment (chiuenne)",1,0,13,FALSE
1,"Can’t-find-the-value-of-x question
speech+gesture",0,0,14,FALSE
1,"Can’t-find-the-value-of-x question
gesture+speech",2,0,14,FALSE
1,"Can’t-find-the-value-of-x question
misalignment (ha fatte)",0,0,14,FALSE
1,"Can’t-find-the-value-of-x question
right alignment",7,10,14,FALSE
1,"Subject wh-question
speech+gesture",0,0,15,FALSE
1,"Subject wh-question
right alignment",8,10,15,FALSE
1,"Subject wh-question
misalignment (a figlia)",0,0,15,FALSE
1,"Subject wh-question
gesture+speech",0,0,15,FALSE
2,"Info-seeking wh-question
speech+gesture",1,0,1,FALSE
2,"Info-seeking wh-question
gesture+speech",2,0,1,FALSE
2,"Info-seeking wh-question
right alignment",10,10,1,FALSE
2,"Info-seeking wh-question
misalignment (aldo)",2,0,1,FALSE
2,"Yes/no question
speech+gesture",1,0,2,FALSE
2,"Yes/no question
gesture+speech",1,0,2,FALSE
2,"Yes/no question
right alignment",0,0,2,FALSE
2,"Yes/no question
misalignment (festa)",3,0,2,FALSE
2,"Counter-expectational question
speech+gesture",3,0,3,FALSE
2,"Counter-expectational question
gesture+speech",1,0,3,FALSE
2,"Counter-expectational question
right alignment",10,10,3,FALSE
2,"Counter-expectational question
misalignment (a sta schola)",0,0,3,FALSE
2,"Rhetorical question
speech+gesture",4,0,4,FALSE
2,"Rhetorical question
gesture+speech",0,0,4,FALSE
2,"Rhetorical question
right alignment",10,10,4,FALSE
2,"Rhetorical question
misalignment (Giuseppe)",1,0,4,FALSE
2,"Info-seeking non wh-question
speech+gesture",1,0,5,FALSE
2,"Info-seeking non wh-question
gesture+speech",0,0,5,FALSE
2,"Info-seeking non wh-question
misalignment (Posillipo)",0,0,5,FALSE
2,"Info-seeking non wh-question
right alignment",0,0,5,FALSE
2,"Disapproval echo-question (wh-to-HLP)
speech+gesture",3,0,6,FALSE
2,"Disapproval echo-question (wh-to-HLP)
gesture+speech",3,0,6,FALSE
2,"Disapproval echo-question (wh-to-HLP)
misalignment (buone)",0,0,6,FALSE
2,"Disapproval echo-question (wh-to-HLP)
right alignment",10,10,6,FALSE
2,"Object wh-question
speech+gesture",2,0,7,FALSE
2,"Object wh-question
gesture+speech",0,0,7,FALSE
