ID,question,result,expected,corrupt
1,Declarative,Frase 1,Frase 1,FALSE
1,Info-seeking wh-question,Frase 1,Frase 1,FALSE
1,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
1,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
1,Object wh question,Frase 2,Frase 2,FALSE
1,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
1,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
1,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
1,Yes/no question,Frase 2,Frase 2,FALSE
1,Counter-expectational,Frase 2,Frase 2,FALSE
1,Rhetorical question,Frase 1,Frase 1,FALSE
1,Surprise-disapproval question,Frase 2,Frase 2,FALSE
1,Declarative biased question,Frase 1,Frase 1,FALSE
1,Exclamative,Frase 1,Frase 1,FALSE
1,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
1,Subject wh-question,Frase 1,Frase 1,FALSE
2,Declarative,Frase 1,Frase 1,FALSE
2,Info-seeking wh-question,Frase 1,Frase 1,FALSE
2,Info-seeking non-wh question,Frase 2,Frase 2,FALSE
2,"Disapproval echo-question 
(wh-to-HLP)",Frase 1,Frase 1,FALSE
2,Object wh question,Frase 2,Frase 2,FALSE
2,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
2,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 1,Frase 2,FALSE
2,"Unheard echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,TRUE
2,Yes/no question,Frase 2,Frase 2,FALSE
2,Counter-expectational,Frase 2,Frase 2,FALSE
2,Rhetorical question,Frase 1,Frase 1,FALSE
2,Surprise-disapproval question,Frase 2,Frase 2,FALSE
2,Declarative biased question,Frase 1,Frase 1,FALSE
2,Exclamative,Frase 1,Frase 1,FALSE
2,Can’t-find-the-value-of-x question,Frase 1,Frase 1,FALSE
2,Subject wh-question,Frase 1,Frase 1,FALSE
3,Declarative,Frase 1,Frase 1,FALSE
3,Info-seeking wh-question,Frase 1,Frase 1,FALSE
3,Info-seeking non-wh question,Frase 1,Frase 2,FALSE
3,"Disapproval echo-question 
(wh-to-HLP)",Frase 2,Frase 1,FALSE
3,Object wh question,Frase 2,Frase 2,FALSE
3,"Disapproval echo question 
(wh-to-LLP/tutto)",Frase 2,Frase 2,FALSE
3,"Disapproval echo question 
(wh-to-LLP/buone)",Frase 2,Frase 2,FALSE
